Film,Code,Arousal mean,Raw_PANAS_Valence,Normalized_Score_Model_A,Length,Duration_ms
The dead Poets Society (2),69.0,5.66,1.616,1.0,2’40’’,160000
The dinner game,22.0,5.1,1.367,0.7834,1’40’,100000
Forrest Gump,25.0,5.25,1.223,0.6581,2’01’’,121000
Benny and Joone,66.0,4.09,1.222,0.6572,2’01’’,121000
"""Les trois freres""",18.0,4.36,1.216,0.652,2’24’’,144000
Life is beautiful (4),58.0,5.59,1.199,0.6372,3’48’’,228000
"""La cite de la peur""",77.0,4.52,1.169,0.6111,2’13’’,133000
The visitors,11.0,3.55,1.111,0.5607,2’09’’,129000
When Harry met Sally,24.0,4.67,1.069,0.5241,2’45’’,165000
Ghost,43.0,5.0,1.047,0.505,3’35’’,215000
Life is beautiful (3),710.0,5.44,1.035,0.4946,4’09’’,249000
Life is beautiful (2),54.0,5.82,1.033,0.4928,1’45’’,105000
There is something about Mary (1,71.0,4.02,0.933,0.4058,2’55’’,175000
A fish called Wanda,33.0,4.04,0.911,0.3867,2’53’’,173000
"""Le Pari""",52.0,3.92,0.887,0.3658,1’47’’,107000
When a man loves a woman,36.0,3.71,0.862,0.3441,1’39’’,99000
The eigth day,14.0,5.25,0.738,0.2362,2’10’’,130000
There is something about Mary (2),44.0,3.84,0.677,0.1831,2’26’’,146000
Trainspotting (3),27.0,4.02,0.637,0.1483,1’02’’,62000
The lover,68.0,1.86,0.581,0.0996,43’’,43000
Blue (1),74.0,1.83,0.5,0.0291,16’’,16000
Philadelphia,72.0,5.24,0.465,-0.0013,5’28’’,328000
Blue (3),59.0,1.86,0.449,-0.0152,25’’,25000
Blue (2),55.0,1.63,0.427,-0.0344,40’’,40000
E.T.,19.0,4.16,0.426,-0.0352,4’35’’,275000
Seven (3),79.0,4.24,0.347,-0.104,3’19’’,199000
City of angels,46.0,5.15,0.33,-0.1187,4’15’’,255000
Dangerous mind,62.0,5.25,0.307,-0.1388,2’08’’,128000
Underground,63.0,3.02,0.258,-0.1814,58’’,58000
Trainspotting (2),45.0,4.84,0.244,-0.1936,1’44’’,104000
Scream 2,76.0,4.81,0.159,-0.2675,3’35’’,215000
Man Bites Dog (2),21.0,4.65,0.157,-0.2692,1’17’’,77000
The Professional (1),28.0,5.53,0.155,-0.271,2’44’’,164000
Seven (1),75.0,5.69,0.148,-0.2771,5’52’’,352000
The silence of the lambs,32.0,4.39,0.146,-0.2788,3’29’’,209000
A perfect World,53.0,5.78,0.118,-0.3032,4’27’’,267000
The dreamlife of Angels,23.0,5.22,0.116,-0.3049,2’41’’,161000
The dead Poets Society (1),13.0,4.84,0.095,-0.3232,4’14’’,254000
Indiana Jones,41.0,3.65,0.094,-0.3241,1’53’’,113000
In the name of the father,310.0,3.84,0.002,-0.4041,3’30’’,210000
Hellraiser,67.0,3.93,-0.035,-0.4363,1’30’’,90000
Child's Play II (Chucky II),56.0,4.63,-0.041,-0.4415,1’05’’,65000
Life is beautiful (1),64.0,5.48,-0.077,-0.4728,2’07’’,127000
Seven (2),17.0,4.95,-0.077,-0.4728,1’ 43’’,103000
Copycat,42.0,4.76,-0.093,-0.4867,2’23’’,143000
The Exorcist,34.0,4.73,-0.149,-0.5355,1’41’’,101000
The professional (2),51.0,5.0,-0.178,-0.5607,5’39’’,339000
Trainspotting (1),110.0,5.07,-0.191,-0.572,1’37’’,97000
It,48.0,4.69,-0.202,-0.5816,2’13’’,133000
Schindler's list (3),78.0,5.06,-0.212,-0.5903,1’30’’,90000
The dentist,57.0,4.57,-0.232,-0.6077,56’’,56000
Scream 1,26.0,5.29,-0.295,-0.6625,6’33’’,393000
The Shining,38.0,5.11,-0.305,-0.6712,4’15’’,255000
Dead Man Walking,31.0,5.87,-0.323,-0.6868,6’40’’,400000
Saving Private Ryan,37.0,5.73,-0.336,-0.6981,5’22’’,322000
The Blair Witch Project,65.0,4.95,-0.371,-0.7286,3’57’’,237000
Man Bites Dog (1),73.0,5.41,-0.414,-0.766,1’54’’,114000
Leaving Las Vegas,61.0,5.0,-0.461,-0.8069,2’30’’,150000
Schindler's list (2),12.0,5.13,-0.476,-0.8199,1’55’’,115000
Misery,510.0,6.12,-0.489,-0.8312,3’31’’,211000
The Piano,49.0,5.67,-0.52,-0.8582,43’’,43000
Sleepers,35.0,5.63,-0.561,-0.8939,2’20’’,140000
Schindler's list (1),29.0,5.88,-0.634,-0.9574,1’18’’,78000
American History X,15.0,5.84,-0.683,-1.0,1’ 17’’,77000
