Film,Code,Arousal mean,Raw_Averages_Valence,Normalized_Score_Model_B,Length,Duration_ms
Benny and Joone,66.0,4.09,2.9567,1.0,2’01’’,121000
The dinner game,22.0,5.1,2.9308,0.9909,1’40’,100000
"""Les trois freres""",18.0,4.36,2.9096,0.9834,2’24’’,144000
Ghost,43.0,5.0,2.9067,0.9824,3’35’’,215000
Forrest Gump,25.0,5.25,2.8367,0.9578,2’01’’,121000
Life is beautiful (4),58.0,5.59,2.7563,0.9294,3’48’’,228000
The visitors,11.0,3.55,2.6863,0.9048,2’09’’,129000
The dead Poets Society (2),69.0,5.66,2.5079,0.842,2’40’’,160000
"""La cite de la peur""",77.0,4.52,2.5058,0.8413,2’13’’,133000
Life is beautiful (2),54.0,5.82,2.3292,0.7791,1’45’’,105000
Life is beautiful (3),710.0,5.44,2.3217,0.7764,4’09’’,249000
"""Le Pari""",52.0,3.92,2.2413,0.7481,1’47’’,107000
When Harry met Sally,24.0,4.67,2.2308,0.7445,2’45’’,165000
A fish called Wanda,33.0,4.04,2.2033,0.7348,2’53’’,173000
There is something about Mary (1,71.0,4.02,2.1854,0.7285,2’55’’,175000
When a man loves a woman,36.0,3.71,2.1754,0.725,1’39’’,99000
The eigth day,14.0,5.25,2.1358,0.711,2’10’’,130000
There is something about Mary (2),44.0,3.84,1.7429,0.5727,2’26’’,146000
The lover,68.0,1.86,1.1954,0.3799,43’’,43000
E.T.,19.0,4.16,0.9954,0.3095,4’35’’,275000
Trainspotting (3),27.0,4.02,0.9929,0.3086,1’02’’,62000
Blue (3),59.0,1.86,0.7108,0.2093,25’’,25000
Blue (1),74.0,1.83,0.6204,0.1775,16’’,16000
City of angels,46.0,5.15,0.6046,0.1719,4’15’’,255000
Philadelphia,72.0,5.24,0.4138,0.1047,5’28’’,328000
Blue (2),55.0,1.63,0.4075,0.1025,40’’,40000
Underground,63.0,3.02,0.3575,0.0849,58’’,58000
The Professional (1),28.0,5.53,0.2633,0.0518,2’44’’,164000
Indiana Jones,41.0,3.65,0.0483,-0.0239,1’53’’,113000
Trainspotting (2),45.0,4.84,0.0238,-0.0326,1’44’’,104000
Scream 2,76.0,4.81,-0.0283,-0.0509,3’35’’,215000
Dangerous mind,62.0,5.25,-0.1821,-0.105,2’08’’,128000
Hellraiser,67.0,3.93,-0.2596,-0.1323,1’30’’,90000
Man Bites Dog (2),21.0,4.65,-0.2779,-0.1388,1’17’’,77000
Seven (3),79.0,4.24,-0.3929,-0.1793,3’19’’,199000
Child's Play II (Chucky II),56.0,4.63,-0.4371,-0.1948,1’05’’,65000
It,48.0,4.69,-0.4442,-0.1973,2’13’’,133000
The dead Poets Society (1),13.0,4.84,-0.4492,-0.1991,4’14’’,254000
The dreamlife of Angels,23.0,5.22,-0.5379,-0.2303,2’41’’,161000
A perfect World,53.0,5.78,-0.6521,-0.2705,4’27’’,267000
The Exorcist,34.0,4.73,-0.7208,-0.2947,1’41’’,101000
The Shining,38.0,5.11,-0.7463,-0.3037,4’15’’,255000
In the name of the father,310.0,3.84,-0.7683,-0.3114,3’30’’,210000
Copycat,42.0,4.76,-0.7767,-0.3144,2’23’’,143000
The silence of the lambs,32.0,4.39,-0.8429,-0.3377,3’29’’,209000
The Blair Witch Project,65.0,4.95,-0.8746,-0.3488,3’57’’,237000
Life is beautiful (1),64.0,5.48,-0.965,-0.3807,2’07’’,127000
Seven (2),17.0,4.95,-1.0754,-0.4195,1’ 43’’,103000
The dentist,57.0,4.57,-1.0896,-0.4245,56’’,56000
Scream 1,26.0,5.29,-1.105,-0.43,6’33’’,393000
The professional (2),51.0,5.0,-1.2383,-0.4769,5’39’’,339000
Seven (1),75.0,5.69,-1.2708,-0.4883,5’52’’,352000
Trainspotting (1),110.0,5.07,-1.3504,-0.5164,1’37’’,97000
Schindler's list (3),78.0,5.06,-1.5212,-0.5765,1’30’’,90000
Leaving Las Vegas,61.0,5.0,-1.8162,-0.6804,2’30’’,150000
The Piano,49.0,5.67,-1.8629,-0.6968,43’’,43000
Misery,510.0,6.12,-1.8804,-0.7029,3’31’’,211000
Saving Private Ryan,37.0,5.73,-1.9525,-0.7283,5’22’’,322000
Dead Man Walking,31.0,5.87,-1.9871,-0.7405,6’40’’,400000
Man Bites Dog (1),73.0,5.41,-2.0183,-0.7515,1’54’’,114000
Schindler's list (2),12.0,5.13,-2.2562,-0.8353,1’55’’,115000
Sleepers,35.0,5.63,-2.3646,-0.8734,2’20’’,140000
American History X,15.0,5.84,-2.5962,-0.955,1’ 17’’,77000
Schindler's list (1),29.0,5.88,-2.7242,-1.0,1’18’’,78000
