participant_id,experiment_id,phase_id,film,duration_seconds,target_duration_seconds,valence,arousal,distance
SUB-001,ASA-STRESS-01,1,Trainspotting (3),62,180,-0.0928,4.02,0.046467
SUB-001,ASA-STRESS-01,1,Man Bites Dog (2),77,180,-0.0646,4.65,0.087435
SUB-001,ASA-STRESS-01,1,Blue (2),40,180,0.3796,1.63,0.351835
SUB-001,ASA-STRESS-01,1,Blue (1),16,180,0.6146,1.83,0.40989
SUB-001,ASA-STRESS-01,2,Misery,211,300,-0.9271,6.12,0.243441
SUB-001,ASA-STRESS-01,2,Schindler's list (1),78,300,-0.9342,5.88,0.273363
SUB-001,ASA-STRESS-01,2,Blue (3),25,300,0.5817,1.86,1.032633
SUB-001,ASA-STRESS-01,3,The visitors,129,300,0.8919,3.55,0.082692
SUB-001,ASA-STRESS-01,3,When a man loves a woman,99,300,0.6193,3.71,0.126648
SUB-001,ASA-STRESS-01,3,The lover,43,300,0.9718,1.86,0.166388
SUB-001,ASA-STRESS-01,3,The Piano,43,300,-0.7509,5.67,0.844223
